slice,B_Area4
21,0.000123
21,0.1005
21,0.03845
21,0.000123
21,0.003076
21,0.000677
21,0.639
21,0.04158
21,0.1285
21,0.0008
21,0.000369
21,0.002276
21,0.000185
21,0.07782
21,0.000185
21,0.7857
21,0.000062
21,0.000062
21,0.003814
21,0.000062
21,0.001292
21,0.000062
21,0.000308
21,0.006151
21,0.01126
21,0.0967
21,0.000738
21,0.007382
21,0.000308
21,0.1431
21,0.000062
21,0.01692
21,0.002707
21,0.000062
21,0.004183
21,0.001661
21,0.000861
21,0.000554
21,0.002153
21,0.000062
22,0.000062
22,0.000062
22,0.08637
22,0.000123
22,0.05253
22,0.01464
22,0.000062
22,0.003814
22,0.4256
22,0.000246
22,0.02442
22,0.000062
22,0.2458
22,0.006951
22,0.000246
22,0.000062
22,0.000308
22,0.000308
22,0.000246
22,0.7518
22,0.000062
22,0.001722
22,0.000062
22,0.000123
22,0.005598
22,0.000062
22,0.000062
22,0.000062
22,0.00203
22,0.000062
22,0.000062
22,0.000185
22,0.000062
22,0.000185
22,0.01077
22,0.000492
22,0.0999
22,0.000123
22,0.006644
22,0.000123
22,0.1468
22,0.000492
22,0.002891
22,0.001784
22,0.00326
22,0.007751
22,0.000308
22,0.01101
22,0.000062
23,0.09135
23,0.06773
23,0.01298
23,0.004183
23,0.008674
23,0.4509
23,0.000554
23,0.000123
23,0.001415
23,0.000123
23,0.000062
23,0.2894
23,0.000062
23,0.000185
23,0.000062
23,0.000062
23,0.000062
23,0.000308
23,0.1098
23,0.000308
23,0.000062
23,0.000062
23,0.5921
23,0.000062
23,0.000062
23,0.000062
23,0.000062
23,0.000431
23,0.001476
23,0.007197
23,0.009781
23,0.1019
23,0.006275
23,0.1052
23,0.000062
23,0.006521
23,0.00283
23,0.000677
23,0.000246
23,0.000062
23,0.000308
23,0.01212
23,0.03033
23,0.000123
24,0.000062
24,0.000062
24,0.09738
24,0.09916
24,0.007505
24,0.002399
24,0.005229
24,0.6951
